# Creation date (UTC): 2016-12-21 18:05:18.423569621 -0700 MST
position,position+2s,position-2s,velocity,velocity+2s,velocity-2s,acceleration,acceleration+2s,acceleration-2s,bias,bias+2s,bias-2s
0.000000,6.324555,-6.324555,0.450000,6.324555,-6.324555,0.000000,6.324555,-6.324555,0.090000,6.324555,-6.324555
0.004501,6.325188,-6.325188,0.450187,6.324714,-6.324714,0.018709,4.478794,-4.478794,0.108777,4.478807,-4.478807
0.009002,6.327400,-6.327400,0.450239,6.323929,-6.323929,0.009192,0.520791,-0.520791,0.108333,0.303302,-0.303302
0.013507,6.331818,-6.331818,0.450428,6.321096,-6.321096,0.057567,0.402181,-0.402181,0.113679,0.260288,-0.260288
0.018014,6.339047,-6.339047,0.450979,6.316062,-6.316062,0.026206,0.299704,-0.299704,0.101681,0.192007,-0.192007
0.022525,6.349650,-6.349650,0.451241,6.308247,-6.308247,0.026288,0.257602,-0.257602,0.101766,0.186496,-0.186496
0.027038,6.364114,-6.364114,0.451484,6.297118,-6.297118,-0.021556,0.223447,-0.223447,0.074957,0.169531,-0.169531
0.031552,6.382811,-6.382811,0.451257,6.282238,-6.282238,-0.050465,0.203637,-0.203637,0.057453,0.166425,-0.166425
0.036062,6.405939,-6.405939,0.450767,6.263310,-6.263310,-0.008352,0.185385,-0.185385,0.087590,0.157137,-0.157137
0.040569,6.433481,-6.433481,0.450685,6.240223,-6.240223,-0.002104,0.173064,-0.173064,0.092494,0.155391,-0.155391
-0.769351,1.381547,-1.381547,0.380305,6.189100,-6.189100,-0.015233,0.161455,-0.161455,0.081211,0.150095,-0.150095
-0.765548,1.439623,-1.439623,0.380165,6.176426,-6.176426,0.030612,0.153028,-0.153028,0.124582,0.149277,-0.149277
-0.761745,2.425805,-2.425805,0.380470,5.864209,-5.864209,0.027268,0.144841,-0.144841,0.121259,0.145772,-0.145772
-0.757939,5.343535,-5.343535,0.380736,3.457014,-3.457014,0.012035,0.138560,-0.138560,0.104350,0.145457,-0.145457
-0.754131,6.188908,-6.188908,0.380862,1.590737,-1.590737,0.018670,0.132416,-0.132416,0.112156,0.143147,-0.143147
-0.750321,6.247216,-6.247216,0.381053,1.379573,-1.379573,0.021972,0.127553,-0.127553,0.116471,0.143174,-0.143174
-0.746510,6.251511,-6.251511,0.381253,1.368056,-1.368056,0.003616,0.122733,-0.122733,0.092169,0.141493,-0.141493
-0.742697,6.252056,-6.252056,0.381296,1.367415,-1.367415,0.010092,0.118795,-0.118795,0.101709,0.141681,-0.141681
-0.738884,6.252174,-6.252174,0.381364,1.367361,-1.367361,-0.024184,0.114891,-0.114891,0.050599,0.140498,-0.140498
-0.735071,6.252219,-6.252219,0.381135,1.367350,-1.367350,-0.010199,0.111654,-0.111654,0.073706,0.140811,-0.140811
0.337946,1.379367,-1.379367,0.381191,1.367344,-1.367344,-0.010373,0.108414,-0.108414,0.073455,0.139862,-0.139862
0.341757,1.379506,-1.379506,0.381089,1.367275,-1.367275,-0.008299,0.105661,-0.105661,0.077289,0.140194,-0.140194
0.345568,1.379978,-1.379978,0.381013,1.367005,-1.367005,-0.000170,0.102919,-0.102919,0.092213,0.139517,-0.139517
0.349378,1.380907,-1.380907,0.381008,1.366407,-1.366407,-0.004599,0.100585,-0.100585,0.083295,0.139911,-0.139911
0.353188,1.382412,-1.382412,0.380935,1.365358,-1.365358,-0.038157,0.098233,-0.098233,0.016458,0.139271,-0.139271
0.356995,1.384598,-1.384598,0.380551,1.363746,-1.363746,-0.041601,0.096166,-0.096166,0.008905,0.139595,-0.139595
0.360799,1.387554,-1.387554,0.380135,1.361473,-1.361473,-0.041121,0.094114,-0.094114,0.009956,0.139213,-0.139213
0.364598,1.391342,-1.391342,0.379726,1.358458,-1.358458,-0.038715,0.092364,-0.092364,0.015769,0.139644,-0.139644
0.368393,1.395995,-1.395995,0.379345,1.354654,-1.354654,-0.030300,0.090576,-0.090576,0.035254,0.139055,-0.139055
0.372185,1.401501,-1.401501,0.379029,1.350045,-1.350045,-0.047492,0.088922,-0.088922,-0.008190,0.139243,-0.139243
0.348139,0.997726,-0.997726,0.376279,1.342208,-1.342208,-0.048626,0.087330,-0.087330,-0.011116,0.139221,-0.139221
0.351899,1.003577,-1.003577,0.375791,1.338514,-1.338514,-0.050649,0.086106,-0.086106,-0.016962,0.139818,-0.139818
0.355654,1.016179,-1.016179,0.375285,1.330042,-1.330042,-0.050187,0.084835,-0.084835,-0.015809,0.138704,-0.138704
0.359405,1.040431,-1.040431,0.374782,1.312749,-1.312749,-0.052097,0.083523,-0.083523,-0.020843,0.138183,-0.138183
0.363150,1.081579,-1.081579,0.374262,1.281320,-1.281320,-0.049801,0.082782,-0.082782,-0.013344,0.139161,-0.139161
0.366890,1.140800,-1.140800,0.373766,1.231930,-1.231930,-0.047851,0.083869,-0.083869,-0.005635,0.140178,-0.140178
0.370625,1.210068,-1.210068,0.373292,1.167752,-1.167752,-0.042060,0.086278,-0.086278,0.005801,0.134119,-0.134119
0.374356,1.274635,-1.274635,0.372881,1.101144,-1.101144,-0.029555,0.090141,-0.090141,0.026723,0.127297,-0.127297
0.378083,1.323636,-1.323636,0.372585,1.045889,-1.045889,-0.030595,0.099522,-0.099522,0.024185,0.126222,-0.126222
0.381808,1.355594,-1.355594,0.372274,1.007758,-1.007758,-0.035261,0.114373,-0.114373,0.018438,0.120216,-0.120216
-0.148867,0.985717,-0.985717,0.312021,0.978638,-0.978638,-0.025809,0.121256,-0.121256,0.026133,0.104860,-0.104860
-0.145748,0.994150,-0.994150,0.311738,0.971243,-0.971243,-0.043757,0.121055,-0.121055,0.012631,0.101334,-0.101334
-0.142633,1.003395,-1.003395,0.311284,0.962951,-0.962951,-0.055051,0.120922,-0.120922,0.004575,0.106671,-0.106671
