# Creation date (UTC): 2016-12-21 18:05:18.42343812 -0700 MST
position,position+2s,position-2s,velocity,velocity+2s,velocity-2s,acceleration,acceleration+2s,acceleration-2s,bias,bias+2s,bias-2s
0.000000,6.324555,-6.324555,0.450000,6.324555,-6.324555,0.000000,6.324555,-6.324555,0.090000,6.324555,-6.324555
0.004501,6.324872,-6.324872,0.450187,6.324714,-6.324714,0.018710,4.478907,-4.478907,0.108776,4.478919,-4.478919
0.009003,6.325820,-6.325820,0.450329,6.325189,-6.325189,0.016469,4.476683,-4.476683,0.106020,4.477949,-4.477949
0.013512,6.327401,-6.327401,0.450789,6.325981,-6.325981,0.026302,4.476251,-4.476251,0.125648,4.478760,-4.478760
0.018019,6.329614,-6.329614,0.450953,6.327089,-6.327089,0.023831,4.476189,-4.476189,0.114280,4.479921,-4.479921
0.022530,6.332459,-6.332459,0.451194,6.328514,-6.328514,0.023871,4.476191,-4.476191,0.112186,4.481122,-4.481122
0.027060,6.335934,-6.335934,0.451993,6.330255,-6.330255,0.033181,4.476137,-4.476137,0.065261,4.482236,-4.482236
0.031623,6.340041,-6.340041,0.453516,6.332311,-6.332311,0.050158,4.475965,-4.475965,0.014207,4.483196,-4.483196
0.036092,6.344778,-6.344778,0.452296,6.334682,-6.334682,0.028679,4.475635,-4.475635,0.063878,4.483958,-4.483958
0.040596,6.350144,-6.350144,0.452142,6.337367,-6.337367,0.023795,4.475120,-4.475120,0.073526,4.484490,-4.484490
-0.768060,1.380457,-1.380457,0.373483,6.310385,-6.310385,0.040004,4.474373,-4.474373,0.043363,4.484745,-4.484745
-0.764428,1.383268,-1.383268,0.364892,6.313692,-6.313692,-0.041956,4.473433,-4.473433,0.177685,4.484758,-4.484758
-0.760775,1.388947,-1.388947,0.364794,6.317309,-6.317309,-0.039276,4.472266,-4.472266,0.173623,4.484493,-4.484493
-0.756987,1.397466,-1.397466,0.369393,6.321234,-6.321234,-0.000795,4.470867,-4.470867,0.116558,4.483945,-4.483945
-0.753391,1.408777,-1.408777,0.366669,6.325464,-6.325464,-0.020233,4.469233,-4.469233,0.144554,4.483112,-4.483112
-0.749816,1.422821,-1.422821,0.364357,6.329996,-6.329996,-0.034318,4.467367,-4.467367,0.164353,4.481995,-4.481995
-0.745632,1.439521,-1.439521,0.374819,6.334829,-6.334829,0.033315,4.465273,-4.465273,0.071683,4.480600,-4.480600
-0.742153,1.458795,-1.458795,0.370399,6.339958,-6.339958,0.005319,4.462957,-4.462957,0.109467,4.478934,-4.478934
-0.736563,1.480547,-1.480547,0.400150,6.345381,-6.345381,0.170502,4.460427,-4.460427,-0.110110,4.477007,-4.477007
-0.733488,1.504676,-1.504676,0.388472,6.351095,-6.351095,0.099989,4.457692,-4.457692,-0.017492,4.474829,-4.474829
-0.123963,1.038861,-1.038861,1.478717,6.027489,-6.027489,0.185332,4.452414,-4.452414,-0.105370,4.470057,-4.470057
-0.109241,1.059082,-1.059082,1.478933,6.033647,-6.033647,0.176949,4.449306,-4.449306,-0.094600,4.467421,-4.467421
-0.094992,1.082309,-1.082309,1.470370,6.040104,-6.040104,0.126620,4.446025,-4.446025,-0.030108,4.464573,-4.464573
-0.079798,1.108362,-1.108362,1.479645,6.046855,-6.046855,0.163817,4.442584,-4.442584,-0.077542,4.461527,-4.461527
-0.061009,1.137058,-1.137058,1.540252,6.053897,-6.053897,0.425526,4.438993,-4.438993,-0.409529,4.458298,-4.458298
-0.044788,1.168212,-1.168212,1.555210,6.061227,-6.061227,0.471003,4.435265,-4.435265,-0.467171,4.454899,-4.454899
-0.029013,1.201645,-1.201645,1.562372,6.068842,-6.068842,0.480999,4.431411,-4.431411,-0.479988,4.451343,-4.451343
-0.013634,1.237181,-1.237181,1.564124,6.076737,-6.076737,0.469024,4.427440,-4.427440,-0.465215,4.447643,-4.447643
0.000294,1.274657,-1.274657,1.550406,6.084909,-6.084909,0.399658,4.423364,-4.423364,-0.378696,4.443813,-4.443813
0.021168,1.313916,-1.313916,1.607507,6.093354,-6.093354,0.592483,4.419193,-4.419193,-0.619485,4.439862,-4.439862
0.172984,0.978324,-0.978324,2.035626,5.377662,-5.377662,0.660383,4.404488,-4.404488,-0.693817,4.425318,-4.425318
0.194051,1.009421,-1.009421,2.051462,5.386314,-5.386314,0.697077,4.400183,-4.400183,-0.739823,4.421192,-4.421192
0.214713,1.042406,-1.042406,2.059834,5.395272,-5.395272,0.702434,4.395808,-4.395808,-0.746857,4.416978,-4.416978
0.236067,1.077119,-1.077119,2.075120,5.404532,-5.404532,0.732850,4.391372,-4.391372,-0.784973,4.412686,-4.412686
0.256154,1.113410,-1.113410,2.074987,5.414090,-5.414090,0.706355,4.386881,-4.386881,-0.752543,4.408324,-4.408324
0.276010,1.151143,-1.151143,2.072816,5.423942,-5.423942,0.674692,4.382342,-4.382342,-0.713730,4.403900,-4.403900
0.295495,1.190194,-1.190194,2.067635,5.434084,-5.434084,0.635155,4.377761,-4.377761,-0.665190,4.399420,-4.399420
0.313149,1.230450,-1.230450,2.047085,5.444512,-5.444512,0.548846,4.373143,-4.373143,-0.558839,4.394892,-4.394892
0.334351,1.271809,-1.271809,2.058446,5.455222,-5.455222,0.567100,4.368493,-4.368493,-0.581677,4.390321,-4.390321
0.357675,1.314179,-1.314179,2.085622,5.466210,-5.466210,0.631929,4.363815,-4.363815,-0.662032,4.385714,-4.385714
-0.146684,0.979325,-0.979325,0.389211,4.562442,-4.562442,0.341888,4.337138,-4.337138,-0.360266,4.359010,-4.359010
-0.140704,1.011449,-1.011449,0.414835,4.573583,-4.573583,0.419893,4.332490,-4.332490,-0.456897,4.354415,-4.354415
-0.134109,1.044629,-1.044629,0.443306,4.585055,-4.585055,0.502258,4.327825,-4.327825,-0.558947,4.349796,-4.349796
-0.135742,1.078783,-1.078783,0.391126,4.596854,-4.596854,0.314525,4.323147,-4.323147,-0.327205,4.345159,-4.345159
-0.126934,1.113834,-1.113834,0.437493,4.608974,-4.608974,0.451858,4.318460,-4.318460,-0.497092,4.340505,-4.340505
-0.117347,1.149713,-1.149713,0.485506,4.621410,-4.621410,0.585796,4.313765,-4.313765,-0.662863,4.335839,-4.335839
-0.119051,1.186361,-1.186361,0.438904,4.634157,-4.634157,0.429087,4.309065,-4.309065,-0.469546,4.331163,-4.331163
-0.117314,1.223720,-1.223720,0.422907,4.647211,-4.647211,0.370242,4.304361,-4.304361,-0.397066,4.326480,-4.326480
-0.107412,1.261742,-1.261742,0.467602,4.660566,-4.660566,0.485782,4.299657,-4.299657,-0.540068,4.321791,-4.321791
-0.098704,1.300381,-1.300381,0.500290,4.674218,-4.674218,0.562067,4.294953,-4.294953,-0.634636,4.317099,-4.317099
0.199439,0.972547,-0.972547,1.345800,3.819027,-3.819027,0.613699,4.257339,-4.257339,-0.658800,4.279360,-4.279360
0.215368,1.001579,-1.001579,1.374823,3.833003,-3.833003,0.687299,4.252748,-4.252748,-0.750406,4.274776,-4.274776
0.229066,1.031268,-1.031268,1.380944,3.847337,-3.847337,0.684956,4.248161,-4.248161,-0.747885,4.270193,-4.270193
0.238938,1.061575,-1.061575,1.354584,3.862021,-3.862021,0.584622,4.243579,-4.243579,-0.623800,4.265612,-4.265612
0.250752,1.092463,-1.092463,1.346448,3.877048,-3.877048,0.543618,4.239003,-4.239003,-0.573240,4.261036,-4.261036
0.262784,1.123897,-1.123897,1.340844,3.892413,-3.892413,0.512169,4.234433,-4.234433,-0.534501,4.256465,-4.256465
0.273435,1.155849,-1.155849,1.325855,3.908109,-3.908109,0.456468,4.229872,-4.229872,-0.465624,4.251901,-4.251901
0.278083,1.188290,-1.188290,1.270685,3.924128,-3.924128,0.295487,4.225319,-4.225319,-0.265954,4.247343,-4.247343
0.291475,1.221197,-1.221197,1.278088,3.940465,-3.940465,0.307160,4.220775,-4.220775,-0.280589,4.242792,-4.242792
0.296218,1.254546,-1.254546,1.229742,3.957113,-3.957113,0.175692,4.216241,-4.216241,-0.117376,4.238250,-4.238250
0.540729,0.952383,-0.952383,1.815252,3.246266,-3.246266,0.212985,4.168252,-4.168252,-0.123896,4.190074,-4.190074
0.560094,0.977768,-0.977768,1.827659,3.263459,-3.263459,0.243233,4.163877,-4.163877,-0.161721,4.185689,-4.185689
0.586040,1.003630,-1.003630,1.892114,3.281017,-3.281017,0.420540,4.159512,-4.159512,-0.383219,4.181314,-4.181314
0.602959,1.029951,-1.029951,1.880746,3.298932,-3.298932,0.377260,4.155157,-4.155157,-0.329350,4.176949,-4.176949
0.626905,1.056711,-1.056711,1.922100,3.317194,-3.317194,0.478874,4.150813,-4.150813,-0.456498,4.172594,-4.172594
0.647315,1.083893,-1.083893,1.935059,3.335795,-3.335795,0.500382,4.146480,-4.146480,-0.483619,4.168249,-4.168249
0.675261,1.111482,-1.111482,1.997691,3.354727,-3.354727,0.648191,4.142159,-4.142159,-0.668704,4.163914,-4.163914
0.697024,1.139464,-1.139464,2.015494,3.373982,-3.373982,0.676498,4.137848,-4.137848,-0.704458,4.159591,-4.159591
0.725539,1.167826,-1.167826,2.073990,3.393550,-3.393550,0.802695,4.133550,-4.133550,-0.862746,4.155279,-4.155279
0.734505,1.196556,-1.196556,2.011276,3.413426,-3.413426,0.634242,4.129263,-4.129263,-0.652303,4.150978,-4.150978
1.002940,0.926209,-0.926209,2.648705,2.845401,-2.845401,0.979400,4.069396,-4.069396,-1.035448,4.090868,-4.090868
1.026545,0.948553,-0.948553,2.635381,2.865909,-2.865909,0.917480,4.065303,-4.065303,-0.957980,4.086761,-4.086761
1.053223,0.971297,-0.971297,2.646639,2.886761,-2.886761,0.922914,4.061221,-4.061221,-0.965318,4.082666,-4.082666
1.082575,0.994431,-0.994431,2.676177,2.907946,-2.907946,0.974538,4.057151,-4.057151,-1.030892,4.078581,-4.078581
1.110843,1.017945,-1.017945,2.695891,2.929455,-2.929455,0.999248,4.053091,-4.053091,-1.062582,4.074507,-4.074507
1.138593,1.041830,-1.041830,2.710740,2.951277,-2.951277,1.010996,4.049044,-4.049044,-1.077948,4.070445,-4.070445
1.173916,1.066078,-1.066078,2.772253,2.973402,-2.973402,1.132386,4.045007,-4.045007,-1.231703,4.066394,-4.066394
1.198078,1.090681,-1.090681,2.761662,2.995822,-2.995822,1.081829,4.040982,-4.040982,-1.168504,4.062354,-4.062354
1.206513,1.115633,-1.115633,2.660132,3.018526,-3.018526,0.828508,4.036968,-4.036968,-0.849142,4.058325,-4.058325
1.222400,1.140928,-1.140928,2.607768,3.041507,-3.041507,0.694777,4.032966,-4.032966,-0.680599,4.054308,-4.054308
0.985589,0.899905,-0.899905,2.098719,2.584007,-2.584007,0.653868,3.958356,-3.958356,-0.703724,3.979394,-3.979394
1.003244,0.920024,-0.920024,2.080767,2.607500,-2.607500,0.594299,3.954583,-3.954583,-0.628199,3.975606,-3.975606
1.016142,0.940516,-0.940516,2.031564,2.631288,-2.631288,0.463354,3.950820,-3.950820,-0.461643,3.971829,-3.971829
1.045261,0.961374,-0.961374,2.094533,2.655360,-2.655360,0.598652,3.947068,-3.947068,-0.634372,3.968062,-3.968062
1.064051,0.982592,-0.982592,2.086599,2.679706,-2.679706,0.567100,3.943326,-3.943326,-0.594456,3.964306,-3.964306
1.077406,1.004167,-1.004167,2.046128,2.704315,-2.704315,0.464837,3.939594,-3.939594,-0.464280,3.960559,-3.960559
1.099046,1.026093,-1.026093,2.057585,2.729177,-2.729177,0.479599,3.935873,-3.935873,-0.483361,3.956824,-3.956824
1.108127,1.048367,-1.048367,1.996940,2.754284,-2.754284,0.340736,3.932162,-3.932162,-0.306289,3.953098,-3.953098
1.126541,1.070985,-1.070985,1.991724,2.779626,-2.779626,0.322818,3.928461,-3.928461,-0.283557,3.949383,-3.949383
1.151204,1.093943,-1.093943,2.020046,2.805193,-2.805193,0.373894,3.924771,-3.924771,-0.348975,3.945678,-3.945678
1.058872,0.876673,-0.876673,1.767943,2.424232,-2.424232,0.184428,3.832194,-3.832194,-0.141887,3.852726,-3.852726
1.067427,0.895305,-0.895305,1.708484,2.450013,-2.450013,0.048827,3.828769,-3.828769,0.033218,3.849287,-3.849287
1.088199,0.914305,-0.914305,1.732642,2.476026,-2.476026,0.100048,3.825353,-3.825353,-0.032962,3.845858,-3.845858
1.104185,0.933669,-0.933669,1.725351,2.502261,-2.502261,0.082485,3.821946,-3.821946,-0.010272,3.842438,-3.842438
1.120651,0.953394,-0.953394,1.721489,2.528708,-2.528708,0.072765,3.818548,-3.818548,0.002294,3.839026,-3.839026
1.137065,0.973477,-0.973477,1.717624,2.555358,-2.555358,0.063435,3.815160,-3.815160,0.014368,3.835624,-3.835624
1.150732,0.993915,-0.993915,1.698921,2.582203,-2.582203,0.024929,3.811780,-3.811780,0.064217,3.832230,-3.832230
1.163226,1.014707,-1.014707,1.675256,2.609233,-2.609233,-0.021756,3.808409,-3.808409,0.124703,3.828846,-3.828846
1.189527,1.035849,-1.035849,1.724184,2.636441,-2.636441,0.072346,3.805047,-3.805047,0.002865,3.825471,-3.825471
1.199601,1.057339,-1.057339,1.689150,2.663819,-2.663819,0.005168,3.801693,-3.801693,0.089924,3.822104,-3.822104
0.987800,0.857919,-0.857919,1.191403,2.331704,-2.331704,-0.388201,3.688462,-3.688462,0.511620,3.708418,-3.708418
1.001528,0.875645,-0.875645,1.198865,2.358903,-2.358903,-0.365302,3.685408,-3.685408,0.481779,3.705353,-3.705353
1.016958,0.893745,-0.893745,1.215766,2.386272,-2.386272,-0.324634,3.682363,-3.682363,0.428539,3.702295,-3.702295
1.029297,0.912214,-0.912214,1.213649,2.413802,-2.413802,-0.322441,3.679324,-3.679324,0.425875,3.699244,-3.699244
1.046745,0.931052,-0.931052,1.239774,2.441485,-2.441485,-0.266587,3.676294,-3.676294,0.352577,3.696202,-3.696202
1.064738,0.950257,-0.950257,1.266936,2.469315,-2.469315,-0.210883,3.673271,-3.673271,0.279413,3.693167,-3.693167
1.088380,0.969825,-0.969825,1.321301,2.497284,-2.497284,-0.107358,3.670255,-3.670255,0.143191,3.690139,-3.690139
1.106590,0.989754,-0.989754,1.345127,2.525384,-2.525384,-0.062536,3.667247,-3.667247,0.084201,3.687119,-3.687119
1.113338,1.010044,-1.010044,1.312173,2.553611,-2.553611,-0.119697,3.664246,-3.664246,0.159597,3.684106,-3.684106
1.128529,1.030692,-1.030692,1.320692,2.581957,-2.581957,-0.102818,3.661252,-3.661252,0.137418,3.681100,-3.681100
1.470504,0.843917,-0.843917,1.996229,2.278309,-2.278309,0.430169,3.526008,-3.526008,-0.406785,3.545321,-3.545321
1.508378,0.861152,-0.861152,2.102724,2.306070,-2.306070,0.619298,3.523342,-3.523342,-0.661164,3.542645,-3.542645
1.529865,0.878767,-0.878767,2.111277,2.333950,-2.333950,0.623587,3.520682,-3.520682,-0.667269,3.539974,-3.539974
1.544691,0.896758,-0.896758,2.083983,2.361941,-2.361941,0.563754,3.518028,-3.518028,-0.587140,3.537310,-3.537310
1.564632,0.915123,-0.915123,2.084869,2.390039,-2.390039,0.555423,3.515380,-3.515380,-0.576232,3.534652,-3.534652
1.585874,0.933861,-0.933861,2.092236,2.418237,-2.418237,0.558547,3.512738,-3.512738,-0.580733,3.532000,-3.532000
1.601970,0.952970,-0.952970,2.074493,2.446530,-2.446530,0.519040,3.510102,-3.510102,-0.527835,3.529353,-3.529353
1.629140,0.972446,-0.972446,2.109513,2.474912,-2.474912,0.568713,3.507472,-3.507472,-0.595014,3.526713,-3.526713
1.651491,0.992289,-0.992289,2.120758,2.503380,-2.503380,0.577816,3.504848,-3.504848,-0.607585,3.524079,-3.524079
1.671094,1.012495,-1.012495,2.119349,2.531928,-2.531928,0.566235,3.502230,-3.502230,-0.592285,3.521451,-3.521451
1.262211,0.834199,-0.834199,1.274563,2.242917,-2.242917,-0.110203,3.345540,-3.345540,0.064881,3.364152,-3.364152
1.285665,0.851198,-0.851198,1.330100,2.270512,-2.270512,-0.013639,3.343264,-3.343264,-0.068493,3.361868,-3.361868
1.301913,0.868579,-0.868579,1.345014,2.298188,-2.298188,0.011589,3.340993,-3.340993,-0.103395,3.359588,-3.359588
1.329923,0.886337,-0.886337,1.417000,2.325939,-2.325939,0.130069,3.338727,-3.338727,-0.267256,3.357314,-3.357314
1.341897,0.904472,-0.904472,1.407770,2.353762,-2.353762,0.112992,3.336466,-3.336466,-0.243773,3.355043,-3.355043
1.361179,0.922979,-0.922979,1.432992,2.381652,-2.381652,0.151435,3.334209,-3.334209,-0.297088,3.352778,-3.352778
1.381460,0.941858,-0.941858,1.461242,2.409606,-2.409606,0.193426,3.331957,-3.331957,-0.355361,3.350517,-3.350517
